app_id,count_mcc_category_1,count_mcc_category_6,count_mcc_category_5,mean_mcc_category_6,count_day_of_week_2,count_mcc_category_3,mean_mcc_category_11,count_operation_type_6,count_operation_type_7,mean_mcc_category_18,count_operation_type_3,mean_day_of_week_4,mean_mcc_category_4,count_mcc_category_15,count_mcc_category_10,mean_operation_type_1,count_operation_type_4,count_operation_type_1,mean_mcc_category_24,count_mcc_category_23,mean_operation_type_16,count_day_of_week_6,amnt_std,mean_day_of_week_5,mean_mcc_category_12,amnt_sum,mean_operation_type_4,count_operation_type_15,mean_operation_type_5,mean_mcc_category_5,count_mcc_category_12,mean_operation_type_9,count_day_of_week_1,count_operation_type_8,count_day_of_week_4,mean_operation_type_8,mean_operation_type_2,days_before_min,mean_operation_type_15,count_operation_type_2,count_mcc_category_8,count_mcc_category_13,mean_mcc_category_8,mean_day_of_week_2,mean_mcc_category_15,mean_operation_type_3,count_mcc_category_4,mean_mcc_category_10,mean_day_of_week_7,hour_diff_var,mean_mcc_category_9,count_day_of_week_5,hour_diff_max,days_before_median,mean_operation_type_10,mean_mcc_category_13,days_before_max,mean_mcc_category_2,mean_mcc_category_1,count_operation_type_11,amnt_mean,count_mcc_category_9,mean_mcc_category_7,count_operation_type_5,count_mcc_category_7,count_operation_type_10,count_operation_type_20,hour_diff_median,product,mean_day_of_week_1,amnt_median,mean_mcc_category_16,mean_operation_type_6,mean_mcc_category_20,mean_operation_type_7,mean_mcc_category_3,count_operation_type_9,count_operation_type_22,mean_mcc_category_28,mean_day_of_week_6,count_mcc_category_2,mean_mcc_category_14
24585,42,18,8,0.3784230832127187,53,6,0.0,0,2,0.6097951234509599,0,0.3589726963406353,0.3320629397392094,7,11,0.3685379330931736,7,330,0.4170849984948249,0,0.0,63,0.07893374657538997,0.3723717471756077,0.4028787279270633,131.72237766048477,0.5831353544430787,0,0.0,0.40777632843716455,8,0.6286346275839995,66,0,50,0.0,0.4280248422086999,1,0.0,8,0,6,0.0,0.4035759588154229,0.4484048121447503,0.0,132,0.35831252412977344,0.4068333627266458,1530.5199674399676,0.4653332489193048,45,357,167.0,0.0,0.3717972700013372,357,0.536092650414454,0.33843047756103806,0,0.3752774292321504,14,0.4122865086854011,0,78,0,0,18.0,0,0.3862115626970269,0.3692652743212557,0.0,0.0,0.3644281473430723,0.3714431863142671,0.32245733702339097,1,0,0.0,0.3599686308777004,9,0.0
29627,116,125,22,0.3794582595154036,69,14,0.455397038991573,0,0,0.6247372084566637,0,0.4504755443059095,0.4111233641972167,7,35,0.4572037504071889,0,285,0.39871312265013065,0,0.0,74,0.10896266226680301,0.47196911820230497,0.5312866205725265,256.68625238322164,0.0,0,0.0,0.4588121638042837,34,0.5928349649971619,107,0,86,0.0,0.4261225780675956,1,0.0,278,0,17,0.0,0.4337705025890004,0.4485351039577244,0.0,56,0.5032904424962342,0.4221424312597274,437.44750144425166,0.5314122137104184,80,194,196.0,0.0,0.5074037493867719,359,0.0,0.4096603990293394,0,0.4448635223279405,39,0.4033986286183692,0,41,0,0,6.0,0,0.4464531329531653,0.4412600784094399,0.0,0.0,0.50915194582897,0.0,0.3926374734189607,11,0,0.0,0.44610227259137497,0,0.4632546407334862
57428,23,20,11,0.3883067802854404,53,12,0.4080334633840488,0,0,0.5376043461287638,0,0.4392831361806637,0.3966146533548924,7,3,0.4437496005361611,0,374,0.0,0,0.0,62,0.08670372342293862,0.4372702488253389,0.4625812591428487,170.49159165657915,0.0,0,0.0,0.4836727681815501,1,0.0,60,0,70,0.0,0.5444645064005768,2,0.0,4,0,14,0.0,0.4597398457257377,0.4948181560713919,0.0,141,0.4594580975556855,0.4554750906387294,1050.7825789783067,0.5271884645525384,51,284,166.0,0.0,0.5222399689635097,355,0.0,0.4346159595874782,0,0.4451477588944626,51,0.4481345047965375,0,49,0,0,14.0,0,0.4417900077586168,0.44427355840892896,0.0,0.0,0.0,0.0,0.4268828013070191,0,0,0.0,0.45184159551745506,0,0.0
344404,42,0,1,0.0,29,82,0.4731196468141337,0,19,0.0,16,0.30811112846734223,0.23497691249256875,0,0,0.2854872085116888,2,97,0.0,0,0.0,15,0.1238924010484805,0.30629494759795195,0.0,62.844006787978685,0.4071106951261173,0,0.0,0.330292206351502,0,0.0,23,15,40,0.4754899012892248,0.3053473491841273,1,0.0,41,0,0,0.0,0.2774482391913202,0.0,0.4420463743701645,23,0.0,0.2366996407190988,3666.2511958323407,0.3715528421149349,51,604,60.0,0.0,0.0,151,0.43524050472684,0.19602673345376914,0,0.3050679941164014,1,0.0,0,0,0,16,3.5,2,0.31078051860868866,0.3176629786017037,0.0,0.0,0.0,0.4006944392780229,0.29306706399194604,0,0,0.0,0.3661782740835733,52,0.34186120179387336
552862,141,0,0,0.0,23,7,0.2975890792412704,2,0,0.0,26,0.3117550686563294,0.39479316605272463,1,0,0.0,0,0,0.0,0,0.2975890792412704,41,0.0885189052333166,0.3165336267560497,0.0,67.05833078894527,0.0,0,0.3197355218258319,0.0,0,0.4286006520446122,26,6,35,0.4123975670954396,0.2745045075865374,32,0.0,155,0,0,0.0,0.26399495371823506,0.4292540262789071,0.404113310753976,3,0.0,0.2716491797757765,3137.1569687067995,0.3817088455874187,40,382,104.0,0.0,0.0,200,0.3836119738991303,0.27053670554158105,13,0.30620242369381395,1,0.2838743485067178,15,2,0,0,2.0,2,0.3028268147749215,0.2975890792412704,0.4286006520446122,0.418497073370157,0.0,0.0,0.2627760182160621,1,0,0.0,0.3396412138181565,62,0.0
636985,592,1,3,0.17084000348437234,115,31,0.5649656963732754,24,41,0.0,2,0.24834612600214054,0.3016347155753793,0,0,0.2436173564446974,0,617,0.0,1,0.0,122,0.08964673673105172,0.2519305016314114,0.0,197.33632921004914,0.0,0,0.3645253478165017,0.2533936294830199,0,0.0,91,1,105,0.3876771200456198,0.4584767919906429,7,0.0,1,63,0,0.3635962693457864,0.24816030477874296,0.0,0.4522441756856477,6,0.0,0.25843916683589657,344.6627102303528,0.0,114,271,134.0,0.3541245804885245,0.0,258,0.3994634013785617,0.2349002366865515,0,0.2582936246204831,0,0.2459240211409845,42,5,12,24,2.0,2,0.2642199173697141,0.2533520957351777,0.0,0.3766303260187431,0.0,0.4067095273575145,0.20023126698980132,0,0,0.0,0.26137236557835697,61,0.0
698581,61,15,26,0.4742934628433239,44,6,0.4172975386098875,0,0,0.0,1,0.4861916757701918,0.4746972491514637,3,12,0.4747979373327022,0,396,0.5290746263211046,0,0.0,65,0.08985589630492934,0.4555142364359241,0.5094328936031604,193.75820208084212,0.0,0,0.0,0.4640082331841456,3,0.6293833628170018,52,0,65,0.0,0.4788346198644685,1,0.0,1,0,4,0.0,0.4821022303255916,0.4141420003651899,0.7304348183959449,166,0.4358058552264034,0.4919507387159732,840.691260718847,0.5256704939729198,59,193,189.5,0.0,0.4748529494556513,355,0.7304348183959449,0.435552036951464,0,0.4772369509380349,27,0.4473825380616313,0,26,0,0,16.0,0,0.4863815810037875,0.4686915931879657,0.0,0.0,0.0,0.0,0.4213902626782613,4,0,0.0,0.4707808639888919,1,0.4841959212245697
796039,60,9,0,0.22498533683395056,48,39,0.4173966506028128,11,0,0.0,5,0.35073255946510623,0.3073379667553651,0,2,0.31425306410292925,2,1,0.0,37,0.0,27,0.09141309297262856,0.35794782939434033,0.3799784696526858,78.21007087828434,0.3346915154454284,0,0.38076115465136795,0.0,12,0.0,34,7,43,0.4357794649957182,0.28660998168541485,14,0.0,164,3,0,0.4143267580148231,0.3124982263894857,0.0,0.4324480610995149,3,0.3452602552481744,0.31443579557050805,3720.6884374002757,0.0,13,674,94.0,0.0,0.0,148,0.4235542934818418,0.2522119668205742,42,0.3286137431860687,0,0.20108519495423466,6,1,0,0,1.0,2,0.32308734439892084,0.3273317217944467,0.0,0.4073506540549908,0.0,0.0,0.260533900571476,0,0,0.0,0.3573353531413262,70,0.3563729156759663
846128,62,21,2,0.4446919472282528,62,3,0.3835022433190298,0,0,0.43557728637090337,0,0.510242713596443,0.37076957714132336,14,2,0.4948046273086404,0,279,0.5400748192054866,2,0.0,26,0.0770399772239446,0.4943442210810117,0.5001400047369011,146.1975166038986,0.0,0,0.5406676290951777,0.4727646565310349,3,0.5554497341366347,41,0,42,0.0,0.4921703339365549,1,0.0,2,1,1,0.5406676290951777,0.5025827164063043,0.5070647092667896,0.0,1,0.4521528526708664,0.4869663244923624,1026.3246166263118,0.5416446161098716,40,222,166.0,0.0,0.4694696001516832,359,0.5406676290951777,0.4572195176943556,0,0.4955848020471138,60,0.5113943811755242,2,18,0,0,22.0,0,0.4992464576580253,0.5018988855529575,0.0,0.0,0.5044676175559426,0.0,0.4484534756042005,7,1,0.0,0.5009050564644618,1,0.0
957986,563,21,3,0.2330785068559466,145,188,0.2336173519100287,0,1,0.0,8,0.2602624786606458,0.3048025023598501,0,0,0.2960620177255521,1,51,0.0,0,0.0,144,0.08830566946373994,0.2563028782979651,0.30248047502187336,227.91978138066762,0.2589723745861205,0,0.35193095860730783,0.33175500229169125,6,0.3032986306676357,137,44,138,0.4037888900453077,0.23315312751837802,1,0.0,764,22,0,0.30775625314255295,0.2441176958780541,0.0,0.41511275197053,31,0.0,0.2336455344844839,806.4072776508414,0.4089459372795201,143,405,105.0,0.30775625314255295,0.0,263,0.4020737290504524,0.2342175105655841,3,0.25046129822051383,2,0.2854463183508055,6,2,22,1,1.0,2,0.2497001818726341,0.25180545966294404,0.0,0.0,0.2901477384690566,0.4492871471021893,0.229759734705781,9,0,0.0,0.2572024781362805,62,0.0
